key,year,status,title,stage2_include,exclude_reason,wind_predictor,wind_mentions,host_terms_present,terrain_terms,n_pages,grain_m,extent,full_text_checked,original_filename
talucci2019drivers,2019,verified,Drivers of lodgepole pine recruitment across a gradient of bark beetle outbreak and wildfire in British Columbia,no,"post-disturbance response, attack not the response variable",,,,,,not extracted,not extracted,no,Talucci et al 2019 Drivers of lodgepole pine recruitment across a gradient of bark beetle & wildfire in British Columbia.pdf
krawchuk2020disturbance,2020,verified,"Disturbance refugia within mosaics of forest fire, drought, and insect outbreaks",yes,,no,5,yes,yes,10,not extracted,not extracted,yes,Krawchuk 2020 Disturbance refugia within mosaics of forest fire  drought  and insect.pdf
vore2020climatic,2020,verified,"Climatic influences on forest fire and mountain pine beetle outbreaks and resulting runoff effects in large watersheds in British Columbia, Canada",no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Vore 2020 Climate and forest disturbances - good history of changing disturbance regimes in BC.pdf
huo2021early,2021,verified,"Early detection of forest stress from European spruce bark beetle attack, and a new vegetation index: Normalized distance red &amp; SWIR (NDRS)",no,"detection method, terrain not a predictor",,,,,,not extracted,not extracted,no,"Huo et al 2021 Early detection of forest stress from European spruce bark beetle attack, and a new vegetation index- Normalized distance red & SWIR (NDRS).pdf"
sambaraju2021mountain,2021,verified,Mountain pine beetle: an example of a climate-driven eruptive insect impacting conifer forest ecosystems,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Sambaraju et al 2021 Mountain-pine-beetle-an-example-of-a-climate-driven-eruptive-insect-impacting-conifer-forest.pdf
ye2021detecting,2021,verified,Detecting subtle change from dense Landsat time series: Case studies of mountain pine beetle and spruce beetle disturbance,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Ye et al 2021 Detecting subtle change from dense Landsat time series.pdf
howe2022numbers,2022,verified,Numbers matter: how irruptive bark beetles initiate transition to self-sustaining behavior during landscape-altering outbreaks,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Howe et al 2022 Numbers matter- how irruptive bark beetles initiate transition to self-sustaining behavior during landscape-altering outbreaks.pdf
campbell2023remote,2023,verified,"Using Remote Sensing and Climate Data to Map the Extent and Severity of Balsam Woolly Adelgid Infestation in Northern Utah, USA",no,not a bark beetle of conifer boles,,,,,,not extracted,not extracted,no,Campbell et al 2023 Using Remote Sensing and Climate Data to Map the Extent and Severity of Balsam Woolly Adelgid Infestation in Northern Utah USA.pdf
cooke2024deduction,2024,verified,On the deduction and quantification of irruptive dynamics in mountain pine beetle population and proxy data,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Cooke et al 2024 On the deduction and quantification of irruptive dynamics in mountain pine beetle.pdf
kautz2024early,2024,verified,Early detection of bark beetle (Ips typographus) infestations by remote sensing – A critical review of recent research,no,"detection method, terrain not a predictor",,,,,,not extracted,not extracted,no,Kautz et al 2024 Early detection of bark beetle Ips typographus infestations by remote sensing.pdf
zwieback2024severity,2024,verified,Low-severity spruce beetle infestation mapped from high-resolution satellite imagery with a convolutional network,no,"detection method, terrain not a predictor",,,,,,not extracted,not extracted,no,Zwieback 202 Low-severity spruce beetle infestation mapped from high-resolution satellite imagery with a convolutional network.pdf
garcia2025historical,2025,verified,Historical imagery reveals cliffs as refugia for biodiversity in steep mountains,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Garcia 2026 Historical imagery reveals cliffs as refugia for biodiversity in steep mountains.pdf
johnson2025assessment,2025,verified,An assessment of Alberta's strategy for controlling mountain pine beetle outbreaks,no,"review, report or management document",,,,,,not extracted,not extracted,no,Johnson & Lewis 2025 An assessment of Alberta s strategy for controlling mountain pine beetle.pdf
krawchuk2025fire,2025,verified,"Fire refugia in forest ecosystems of the Pacific Northwest,
                    <scp>USA</scp>
                    : Science and applications for conservation, adaptation, and stewardship",no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Krawchuk et al 2025 Fire refugia in forest ecosystems of the Pacific Northwest.pdf
potterf2025hotter,2025,verified,Hotter drought increases population levels and accelerates phenology of the European spruce bark beetle Ips typographus,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Potterf et al 2025 Hotter drought increases population levels and accelerates phenology of the European spruce bark beetle.pdf
frank2026disturbance,2026,verified,Disturbance type shapes initial community assembly patterns of early seral forest ground beetles in southwest Oregon,no,not a bark beetle of conifer boles,,,,,,not extracted,not extracted,no,James et al 2026 Disturbance regimes shifting in Oregon.pdf
johnson2026modeling,2026,verified,Modeling stratified dispersal in forest pests: A case study of the mountain pine beetle in Alberta,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Johnson et al 2026 Modeling stratified dispersal in forest pests  A case study of the mountain pine beetle in.pdf
kichas2026mountain,2026,verified,Mountain Pine Beetle (Dendroctonus ponderosae) Outbreak Triggers Growth Release in Small Whitebark Pine (Pinus albicaulis),no,"post-disturbance response, attack not the response variable",,,,,,not extracted,not extracted,no,Kichas_Ecosystems_Whitebark_2026.pdf
murphy2026spatial,2026,verified,"Spatial patterns of conifer regeneration following Mountain pine beetle outbreak (Dendroctonus ponderosae) and mixed-severity wildfire: A point process model of disturbance interactions in the southern Selkirk Mountains, British Columbia",yes,,yes,35,yes,yes,15,not extracted,not extracted,yes,Murphy et al 2026 Spatial Patterns of Confier Regeneration Following Mixed Severity Fire and MPB Outbreaks in Selkirk Mountains.pdf
