"MSI","NBR","NDMI","NDVI","RGI","TCW","ndmi_norm","ndmi_parent","pi_mpb_killed","pi_mpb_killed_pc","plot","point_id","year","epoch","epoch_start","sensor","n_scenes"
-0.301365435123444,0.502190947532654,0.301365435123444,0.691483855247498,0.852372397759695,-0.03379198475,-0.10589999705553,-0.163434997200966,44.8282201597734,77.9482144081669,27,27,2005,10,"2005-09-22","LT05",1
-0.300912827253342,0.501818656921387,0.300912827253342,0.69622391462326,0.863190050185468,-0.0341292475,-0.0531000010669231,-0.0529821999371052,1.17537001725943,95.2830379933792,28,28,2005,10,"2005-09-22","LT05",1
-0.51975953578949,0.715000748634338,0.51975953578949,0.293672233819962,0.938768235165076,0.02250370525,-0.100100003182888,-0.126315996050835,15.0241928019693,84.9091941165153,1,1,2006,1,"2006-05-01","LT05",2
-0.44894152879715,0.703307211399078,0.44894152879715,0.400074899196625,0.936502137298601,0.00450782624999998,-0.0895000025629997,-0.152827993035317,39.7510178591308,80.6718155584882,2,2,2006,1,"2006-05-01","LT05",2
-0.613295555114746,0.765716314315796,0.613295555114746,0.268353343009949,1.02846958930234,0.043896277,-0.0886000022292137,-0.151792004704475,37.2124167088095,80.7369574840845,3,3,2006,1,"2006-05-01","LT05",2
-0.532282829284668,0.715973198413849,0.532282829284668,0.320552468299866,0.92873592306719,0.02411824125,-0.0859000012278557,-0.129688993096352,24.519410957203,82.8216273785474,4,4,2006,1,"2006-05-01","LT05",2
-0.433802396059036,0.633541822433472,0.433802396059036,0.367805480957031,0.944071414709878,0.00109645125000002,-0.0917999967932701,-0.107192002236843,6.32572524120759,89.2954419375831,6,6,2006,1,"2006-05-01","LT05",2
-0.74040824174881,0.831048488616943,0.74040824174881,0.117141090333462,1.20352239933112,0.1131280495,-0.088699996471405,-0.104301996529102,4.79519411651529,90.5771284723991,7,7,2006,1,"2006-05-01","LT05",2
-0.425843894481659,0.676839113235474,0.425843894481659,0.357707858085632,0.991049633848657,0.00304570625000001,-0.0854000002145767,-0.0983740016818047,2.70762737854738,90.6412201597734,8,8,2006,1,"2006-05-01","LT05",2
-0.551059246063232,0.705813467502594,0.551059246063232,0.333099633455276,0.938786699196798,0.022577518,-0.0935999974608421,-0.0932584032416344,2.40276885946298,91.692429154288,9,9,2006,1,"2006-05-01","LT05",2
-0.639974594116211,0.772878348827362,0.639974594116211,0.151169046759605,1.09830241544124,0.06401120975,-0.0826999992132187,-0.112493000924587,9.18144193758311,88.4778213100947,10,10,2006,1,"2006-05-01","LT05",2
-0.561267614364624,0.730909287929535,0.561267614364624,0.323826551437378,0.938485155843088,0.0260727295,-0.0888999998569489,-0.0888196974992752,1.58222089522678,92.3915414763885,11,11,2006,1,"2006-05-01","LT05",2
