"BLUE","GREEN","NDMI","NIR","RED","SWIR1","SWIR2","dNDMI","elev","lab","split","yr","lon","lat"
0.0199865,0.0379439,0.3940032,0.1845519,0.0232688,0.0802278,0.0352681,0.0294054,1395,1,0,2005,-116.5708261,49.2295191
0.0205104,0.0401495,0.3232738,0.1877115,0.0286168,0.0959962,0.050123,-0.0007686,1357,1,1,2005,-116.5719041,49.2279021
0.017205,0.0288407,0.2731272,0.1649224,0.0246497,0.09416,0.0471729,-0.0480359,1425,1,0,2005,-116.5700176,49.2279021
0.017663,0.0348385,0.2400828,0.1683055,0.0274228,0.1031369,0.0554871,-0.0522094,1392,1,0,2005,-116.5708261,49.2276327
0.018314,0.0334005,0.3948174,0.1916911,0.0200367,0.0831708,0.0370181,-0.0256599,1352,1,0,2005,-116.5737905,49.2308666
0.0154229,0.0310234,0.3316972,0.2115003,0.0260221,0.1061399,0.0505018,-0.0447427,1396,1,1,2005,-116.572443,49.2316751
0.0194981,0.0398467,0.2437496,0.2053387,0.0336449,0.1248543,0.0612852,-0.0188809,1398,1,0,2005,-116.5710956,49.2303276
0.0179422,0.0383569,0.3992738,0.1690443,0.0237134,0.0725729,0.0287437,-0.0368065,1335,1,0,2005,-116.572443,49.2287106
0.0166399,0.0299167,0.2083846,0.1635734,0.0225783,0.1071573,0.0527447,-0.1254283,1401,1,0,2005,-116.5748685,49.2330225
0.0148603,0.0303053,0.3968753,0.1746727,0.0174559,0.0754179,0.0310776,-0.0193031,1401,1,0,2005,-116.5783719,49.2330225
0.0163877,0.0289117,0.384484,0.1684625,0.018697,0.0748953,0.032285,0.0207038,1410,1,0,2005,-116.5727125,49.2322141
0.020626,0.0333083,0.3543445,0.1732552,0.0253865,0.0825958,0.0393716,-0.0278696,1232,1,0,2005,-116.576216,49.2295191
0.0159269,0.0291098,0.4258332,0.179625,0.0194436,0.0723329,0.0303738,-0.0237248,1277,1,0,2005,-116.5789109,49.2303276
0.0156264,0.0298417,0.429159,0.1872191,0.0219329,0.0747799,0.0314196,-0.0467002,1271,1,1,2005,-116.5794499,49.2300581
0.0187966,0.0394555,0.1613384,0.165206,0.0339128,0.1193037,0.0616174,-0.0663469,1429,1,0,2005,-116.5710956,49.2311361
0.0225946,0.0318202,0.3744147,0.1735173,0.0208523,0.078979,0.037696,0.0029655,1305,1,0,2005,-116.575138,49.2305971
0.0151555,0.0345599,0.3067458,0.1987028,0.022689,0.1054157,0.0431626,-0.0319242,1417,1,0,2005,-116.5802584,49.2330225
0.0189939,0.0324443,0.2889942,0.1851324,0.0246419,0.1021185,0.0449073,-0.01011,1377,1,0,2005,-116.5789109,49.2324836
