"point_id","plot","easting_m","northing_m","pi_mpb_killed","pi_mpb_killed_pc","BLUE","GREEN","NDMI","NIR","RED","SWIR1","SWIR2","dNDMI"
66,17,523206.923,5445717.04,34.6738155584882,81.2893700172594,0.0261325,0.04618,0.184021845459938,0.19941,0.04014375,0.137425,0.0832225,-0.0504007898271084
67,17,523177.158,5445685.687,34.6738155584882,81.2893700172594,0.02243375,0.03436875,0.239515841007233,0.1658325,0.0284425,0.10174375,0.05460875,-0.0326768197119236
68,17,523206.923,5445687.672,34.6738155584882,81.2893700172594,0.02226875,0.03720125,0.254713177680969,0.18115,0.0303125,0.10760125,0.05977875,-0.00627152202650905
69,18,523503.219,5447903.721,26.7821906400317,82.516768859463,0.03925,0.06266625,0.0546222031116486,0.24171875,0.05460875,0.21668,0.1267,-0.307315319776535
70,18,523471.469,5447905.044,26.7821906400317,82.516768859463,0.03588125,0.05752375,0.0741338580846786,0.22791375,0.04959,0.19645375,0.1117675,-0.256635725498199
71,18,523503.549,5447880.901,26.7821906400317,82.516768859463,0.04044625,0.06037,0.0263855662196875,0.2233075,0.05513125,0.21182625,0.12698875,-0.31552529335022
72,18,523473.122,5447880.57,26.7821906400317,82.516768859463,0.0354275,0.055695,0.0747611224651337,0.22059875,0.0486,0.18990875,0.10740875,-0.28884944319725
73,19,523560.104,5447903.721,42.2896190094521,80.3480178591308,0.02752125,0.041505,0.182801097631454,0.1856325,0.0308625,0.12825375,0.06879875,-0.188040018081665
74,19,523528.354,5447905.044,42.2896190094521,80.3480178591308,0.0360325,0.05421,0.0640387013554573,0.21212875,0.04649625,0.186595,0.11024125,-0.306583613157272
75,19,523560.435,5447880.901,42.2896190094521,80.3480178591308,0.0305325,0.0453,0.118518069386482,0.185825,0.03727,0.146445,0.08235625,-0.298455864191055
76,19,523530.008,5447880.57,42.2896190094521,80.3480178591308,0.037545,0.0599025,0.0609950013458729,0.222675,0.050635,0.1970725,0.11592,-0.299449235200882
77,20,523796.907,5448526.023,32.1352144081669,81.4756191353309,0.03254,0.04440625,0.111391969025135,0.17807,0.035785,0.142375,0.08081625,-0.328174918889999
78,20,523765.157,5448527.345,32.1352144081669,81.4756191353309,0.0308075,0.04118875,0.104170054197311,0.16564,0.0332825,0.13438625,0.07632,-0.339088261127472
79,20,523797.237,5448503.202,32.1352144081669,81.4756191353309,0.03161875,0.045465,0.0703008025884628,0.161295,0.038755,0.14010625,0.08100875,-0.414019823074341
80,20,523766.81,5448502.871,32.1352144081669,81.4756191353309,0.0313025,0.04266,0.0725180432200432,0.15465375,0.03549625,0.13374,0.07685625,-0.418449938297272
81,21,523946.132,5448579.998,27.0580121075243,82.4046190094521,0.03280125,0.04525875,0.129372090101242,0.17956875,0.03530375,0.13842875,0.0742575,-0.360746264457703
82,21,523914.382,5448581.321,27.0580121075243,82.4046190094521,0.03304875,0.04930125,0.178618118166924,0.2265525,0.03901625,0.157885,0.08279625,-0.27561154961586
83,21,523946.463,5448557.177,27.0580121075243,82.4046190094521,0.0354,0.0520375,0.123923987150192,0.2146175,0.04226125,0.16729,0.09205,-0.372623771429062
84,21,523916.036,5448556.847,27.0580121075243,82.4046190094521,0.03472625,0.04982375,0.130574896931648,0.19953375,0.04025375,0.15344375,0.08491375,-0.345451653003693
85,22,524008.045,5448641.91,29.5966132578456,81.6962208952268,0.02507375,0.0440075,0.403016716241837,0.2755025,0.02732875,0.11722625,0.05323375,0.0375873669981956
86,22,523976.295,5448643.233,29.5966132578456,81.6962208952268,0.03511125,0.05895375,0.241432934999466,0.309355,0.04519,0.18902875,0.09709625,0.0603475570678711
87,22,524008.375,5448619.09,29.5966132578456,81.6962208952268,0.03304875,0.04916375,0.308304667472839,0.249295,0.0377375,0.13180125,0.07176875,0.0774584114551544
88,22,523977.948,5448618.759,29.5966132578456,81.6962208952268,0.04157375,0.0574,0.099337212741375,0.22018625,0.05095125,0.18039375,0.10589625,-0.0803200900554657
89,23,523323.831,5448232.334,15.6960379933792,83.0254167088095,0.02400125,0.04019875,0.25882151722908,0.20183,0.0277825,0.118835,0.059765,-0.16244313120842
90,23,523292.081,5448233.657,15.6960379933792,83.0254167088095,0.02922625,0.0519825,0.168830201029778,0.23393625,0.037765,0.166355,0.0858625,-0.141103297472
91,23,523324.162,5448209.514,15.6960379933792,83.0254167088095,0.01973875,0.02919875,0.266216069459915,0.146005,0.0199175,0.08461125,0.0428525,-0.233498588204384
92,23,523293.734,5448209.183,15.6960379933792,83.0254167088095,0.0230525,0.04149125,0.221862554550171,0.19510625,0.028635,0.1242525,0.06332625,-0.154739126563072
93,24,523325.418,5448167.247,12.4474495204142,86.4397252412076,0.018955,0.02650375,0.241105481982231,0.1242525,0.0189275,0.07597625,0.03948375,-0.205280944705009
94,24,523293.668,5448168.57,12.4474495204142,86.4397252412076,0.02209,0.03274625,0.213358134031296,0.1504875,0.02356125,0.09756375,0.05168,-0.185268387198448
95,24,523325.749,5448144.426,12.4474495204142,86.4397252412076,0.0207975,0.03016125,0.198310852050781,0.13177375,0.0222825,0.08815875,0.0465375,-0.205853462219238
96,24,523295.322,5448144.096,12.4474495204142,86.4397252412076,0.0203575,0.03024375,0.204829141497612,0.13616,0.0214025,0.08986375,0.0468675,-0.159157544374466
97,25,523384.156,5448168.834,10.4631284723991,87.0560121075243,0.0250875,0.03750375,0.160123139619827,0.1493325,0.0297075,0.10811,0.05909125,-0.22967541217804
98,25,523352.406,5448170.157,10.4631284723991,87.0560121075243,0.02264,0.032265,0.129737690091133,0.1256,0.02499125,0.0967525,0.0530825,-0.252191871404648
99,25,523384.487,5448146.014,10.4631284723991,87.0560121075243,0.0281125,0.04278375,0.0900137424468994,0.159095,0.035895,0.13281875,0.0761,-0.245680585503578
100,25,523354.059,5448145.683,10.4631284723991,87.0560121075243,0.0255,0.03815,0.12216330319643,0.1513125,0.03040875,0.1183675,0.0663375,-0.205039143562317
101,26,523447.656,5448225.984,47.3668213100947,75.4096132578456,0.0232725,0.03486375,0.180144309997559,0.14637625,0.026325,0.10168875,0.053385,-0.236019983887672
