"year","epoch","start","sensor","index","n_plots","r_m2","r_pc","abs_m2","abs_pc"
2008,3,"2008-06-01","LT05","NBR",28,-0.339563019297994,0.385259907692199,0.339563019297994,0.385259907692199
2008,3,"2008-06-01","LT05","TCW",28,-0.339545446058349,0.374402809627229,0.339545446058349,0.374402809627229
2013,8,"2013-08-21","LC08","NBR",28,-0.339322180265511,0.352000687669706,0.339322180265511,0.352000687669706
2014,4,"2014-06-18","LC08","NBR",28,-0.337579861404117,0.337718016258695,0.337579861404117,0.337718016258695
2003,6,"2003-07-20","LT05","NBR",22,-0.337299927436331,0.346805368456682,0.337299927436331,0.346805368456682
2013,3,"2013-06-02","LC08","NBR",28,-0.337105130253462,0.35638254361621,0.337105130253462,0.35638254361621
2003,5,"2003-07-04","LT05","NBR",28,-0.336849574321283,0.368981611793747,0.336849574321283,0.368981611793747
2005,10,"2005-09-22","LT05","NDVI",28,-0.336585941751803,0.370758628412311,0.336585941751803,0.370758628412311
2005,5,"2005-07-04","LT05","TCW",28,-0.335428386653719,0.367021899814067,0.335428386653719,0.367021899814067
2005,10,"2005-09-22","LT05","NBR",28,-0.335263874702146,0.371216599618757,0.335263874702146,0.371216599618757
2003,9,"2003-09-06","LT05","RGI",28,0.334999870353704,-0.331618000849249,0.334999870353704,0.331618000849249
2011,8,"2011-08-21","LT05","NDVI",28,-0.334469380316663,0.334007181060126,0.334469380316663,0.334007181060126
2014,1,"2014-05-01","LC08","NBR",27,-0.33281278869428,0.394050750782919,0.33281278869428,0.394050750782919
2011,5,"2011-07-04","LT05","TCW",23,-0.3325343633829,0.368772010954595,0.3325343633829,0.368772010954595
2009,5,"2009-07-04","LT05","NBR",28,-0.331170760880671,0.348212181804766,0.331170760880671,0.348212181804766
2003,5,"2003-07-04","LT05","TCW",28,-0.330207935120514,0.388996075369966,0.330207935120514,0.388996075369966
2006,6,"2006-07-20","LT05","TCW",28,-0.328811797490542,0.36325925847556,0.328811797490542,0.36325925847556
2013,8,"2013-08-21","LC08","NDVI",28,-0.328639606003666,0.313688417909249,0.328639606003666,0.313688417909249
2020,10,"2020-09-21","LC08","NDVI",28,-0.326787684384262,0.290830068291864,0.326787684384262,0.290830068291864
2005,10,"2005-09-22","LT05","TCW",28,-0.32602528210075,0.33504024232092,0.32602528210075,0.33504024232092
2013,3,"2013-06-02","LC08","NDVI",28,-0.325892866772749,0.345925651636842,0.325892866772749,0.345925651636842
2014,4,"2014-06-18","LC08","NDVI",28,-0.325094807555142,0.289888901997464,0.325094807555142,0.289888901997464
2006,3,"2006-06-02","LT05","TCW",28,-0.324818284079386,0.355427508479412,0.324818284079386,0.355427508479412
2005,1,"2005-05-01","LT05","RGI",27,0.324133460209947,-0.333735092785038,0.324133460209947,0.333735092785038
2006,3,"2006-06-02","LT05","NDMI",28,-0.323120476977326,0.352002563612148,0.323120476977326,0.352002563612148
2006,3,"2006-06-02","LT05","MSI",28,0.323120476977326,-0.352002563612148,0.323120476977326,0.352002563612148
2006,8,"2006-08-21","LT05","NDVI",28,-0.322917418445274,0.308648037311364,0.322917418445274,0.308648037311364
2008,9,"2008-09-05","LT05","NDVI",28,-0.322504336923253,0.368968530660992,0.322504336923253,0.368968530660992
2013,8,"2013-08-21","LC08","RGI",28,0.322225978356539,-0.301639465019444,0.322225978356539,0.301639465019444
2003,9,"2003-09-06","LT05","NDVI",28,-0.321716163854983,0.328588124670163,0.321716163854983,0.328588124670163
2006,1,"2006-05-01","LT05","RGI",26,0.319820355319682,-0.44097168130424,0.319820355319682,0.44097168130424
2011,7,"2011-08-05","LT05","NDVI",28,-0.319350960316586,0.261868443648387,0.319350960316586,0.261868443648387
2013,6,"2013-07-20","LC08","NDVI",28,-0.31883713457267,0.308037366692974,0.31883713457267,0.308037366692974
2006,4,"2006-06-18","LT05","NDMI",28,-0.315541126824594,0.360604643120552,0.315541126824594,0.360604643120552
2006,4,"2006-06-18","LT05","MSI",28,0.315541126824594,-0.360604643120552,0.315541126824594,0.360604643120552
2014,7,"2014-08-05","LC08","RGI",28,0.314039599584811,-0.308723219441295,0.314039599584811,0.308723219441295
2005,5,"2005-07-04","LT05","NBR",28,-0.313315753217842,0.335416462021918,0.313315753217842,0.335416462021918
2009,5,"2009-07-04","LT05","TCW",28,-0.311752712581794,0.347487252144814,0.311752712581794,0.347487252144814
2009,6,"2009-07-20","LT05","TCW",28,-0.310948400698737,0.343989581894993,0.310948400698737,0.343989581894993
2020,10,"2020-09-21","LC08","NBR",28,-0.309582981767,0.242704955053012,0.309582981767,0.242704955053012
2005,8,"2005-08-21","LT05","TCW",28,-0.308087697187458,0.35363147643134,0.308087697187458,0.35363147643134
2007,6,"2007-07-20","LT05","NDVI",28,-0.307400377377133,0.28107117692658,0.307400377377133,0.28107117692658
2009,6,"2009-07-20","LT05","NDVI",28,-0.307145988767262,0.283266895190754,0.307145988767262,0.283266895190754
2010,4,"2010-06-18","LT05","NDVI",28,-0.305962821053768,0.285288238172993,0.305962821053768,0.285288238172993
2013,5,"2013-07-04","LC08","RGI",28,0.305487406347612,-0.268712332600535,0.305487406347612,0.268712332600535
2006,10,"2006-09-22","LT05","NDVI",28,-0.303294819545043,0.31895114500314,0.303294819545043,0.31895114500314
2020,10,"2020-09-21","LC08","TCW",28,-0.302692621380332,0.242782244746578,0.302692621380332,0.242782244746578
2005,8,"2005-08-21","LT05","NBR",28,-0.30200968733738,0.355329357207234,0.30200968733738,0.355329357207234
2006,8,"2006-08-21","LT05","NBR",28,-0.301825616284912,0.356216017210847,0.301825616284912,0.356216017210847
2007,7,"2007-08-05","LT05","RGI",28,0.30171886778433,-0.29725692216346,0.30171886778433,0.29725692216346
2020,7,"2020-08-04","LC08","NBR",28,-0.300408345483167,0.210532387074391,0.300408345483167,0.210532387074391
2009,2,"2009-05-17","LT05","NDVI",28,-0.298454533310056,0.321553700205364,0.298454533310056,0.321553700205364
2003,7,"2003-08-05","LT05","NDVI",28,-0.297951056990626,0.26661366988696,0.297951056990626,0.26661366988696
2013,3,"2013-06-02","LC08","RGI",28,0.294901585046962,-0.310017902806845,0.294901585046962,0.310017902806845
2009,2,"2009-05-17","LT05","TCW",28,-0.29443977581719,0.32600499328361,0.29443977581719,0.32600499328361
2020,8,"2020-08-20","LC08","NBR",28,-0.294155671209725,0.209686031093428,0.294155671209725,0.209686031093428
2009,2,"2009-05-17","LT05","NBR",28,-0.293302147783296,0.353504190729337,0.293302147783296,0.353504190729337
2003,5,"2003-07-04","LT05","NDVI",28,-0.293288790637986,0.250183965154754,0.293288790637986,0.250183965154754
2006,4,"2006-06-18","LT05","NBR",28,-0.292331895334858,0.321585225543383,0.292331895334858,0.321585225543383
2020,10,"2020-09-21","LC08","NDMI",28,-0.290436705292459,0.226465761865109,0.290436705292459,0.226465761865109
2020,10,"2020-09-21","LC08","MSI",28,0.290436705292459,-0.226465761865109,0.290436705292459,0.226465761865109
2006,7,"2006-08-05","LT05","NDVI",25,-0.288284923155591,0.310072958494769,0.288284923155591,0.310072958494769
2008,3,"2008-06-01","LT05","NDVI",28,-0.288199277794756,0.283933843398129,0.288199277794756,0.283933843398129
2011,8,"2011-08-21","LT05","RGI",28,0.287499965936794,-0.277161468986718,0.287499965936794,0.277161468986718
2011,9,"2011-09-06","LT05","RGI",28,0.287399379251251,-0.332014377311187,0.287399379251251,0.332014377311187
2006,1,"2006-05-01","LT05","NDVI",26,-0.283481582602463,0.329727403651512,0.283481582602463,0.329727403651512
2005,5,"2005-07-04","LT05","RGI",28,0.283077687951414,-0.224541592600486,0.283077687951414,0.224541592600486
2006,7,"2006-08-05","LT05","TCW",25,-0.282821155122073,0.32683188537116,0.282821155122073,0.32683188537116
2007,9,"2007-09-06","LT05","NDVI",28,-0.281835548619164,0.271719407366066,0.281835548619164,0.271719407366066
2014,4,"2014-06-18","LC08","RGI",28,0.279005717926323,-0.260970683916195,0.279005717926323,0.260970683916195
2006,4,"2006-06-18","LT05","TCW",28,-0.277509909544623,0.30435432647247,0.277509909544623,0.30435432647247
2005,5,"2005-07-04","LT05","NDVI",28,-0.276447100892685,0.248857015969388,0.276447100892685,0.248857015969388
2003,6,"2003-07-20","LT05","NDVI",22,-0.274991299809127,0.256787195180418,0.274991299809127,0.256787195180418
2005,7,"2005-08-05","LT05","NDVI",28,-0.270896220250309,0.25454734145382,0.270896220250309,0.25454734145382
2010,4,"2010-06-18","LT05","RGI",28,0.270358610259378,-0.262702155416733,0.270358610259378,0.262702155416733
2020,8,"2020-08-20","LC08","NDMI",28,-0.268631566253523,0.19125202884884,0.268631566253523,0.19125202884884
2020,8,"2020-08-20","LC08","MSI",28,0.268631566253523,-0.19125202884884,0.268631566253523,0.19125202884884
2006,6,"2006-07-20","LT05","NDVI",28,-0.266116667247691,0.21577683444024,0.266116667247691,0.21577683444024
2006,8,"2006-08-21","LT05","RGI",28,0.265982881359937,-0.234984189009611,0.265982881359937,0.234984189009611
